image,label
images/AppleA/285.png,labels/AppleA/285.png
images/AppleA/287.png,labels/AppleA/287.png
images/AppleA/288.png,labels/AppleA/288.png
images/AppleA/289.png,labels/AppleA/289.png
images/AppleA/291.png,labels/AppleA/291.png
images/AppleA/292.png,labels/AppleA/292.png
images/AppleA/293.png,labels/AppleA/293.png
images/AppleA/294.png,labels/AppleA/294.png
images/AppleA/295.png,labels/AppleA/295.png
images/AppleA/297.png,labels/AppleA/297.png
images/AppleA/298.png,labels/AppleA/298.png
images/AppleA/299.png,labels/AppleA/299.png
images/AppleA/300.png,labels/AppleA/300.png
images/AppleA/301.png,labels/AppleA/301.png
images/AppleA/302.png,labels/AppleA/302.png
images/AppleA/303.png,labels/AppleA/303.png
images/AppleA/304.png,labels/AppleA/304.png
images/AppleA/305.png,labels/AppleA/305.png
images/AppleA/306.png,labels/AppleA/306.png
images/AppleA/307.png,labels/AppleA/307.png
images/AppleA/308.png,labels/AppleA/308.png
images/AppleA/309.png,labels/AppleA/309.png
images/AppleA/310.png,labels/AppleA/310.png
images/AppleA/313.png,labels/AppleA/313.png
images/AppleA/315.png,labels/AppleA/315.png
images/AppleA/320.png,labels/AppleA/320.png
images/AppleA/321.png,labels/AppleA/321.png
images/AppleA/322.png,labels/AppleA/322.png
images/AppleA/323.png,labels/AppleA/323.png
images/AppleA/325.png,labels/AppleA/325.png
images/AppleA/326.png,labels/AppleA/326.png
images/AppleA/327.png,labels/AppleA/327.png
images/AppleA/330.png,labels/AppleA/330.png
images/AppleA/331.png,labels/AppleA/331.png
images/AppleA/333.png,labels/AppleA/333.png
images/AppleA/334.png,labels/AppleA/334.png
images/AppleA/338.png,labels/AppleA/338.png
images/AppleA/339.png,labels/AppleA/339.png
images/AppleA/340.png,labels/AppleA/340.png
images/AppleA/343.png,labels/AppleA/343.png
images/AppleA/345.png,labels/AppleA/345.png
images/AppleA/346.png,labels/AppleA/346.png
images/AppleA/347.png,labels/AppleA/347.png
images/AppleA/348.png,labels/AppleA/348.png
images/AppleA/350.png,labels/AppleA/350.png
images/AppleA/351.png,labels/AppleA/351.png
images/AppleA/352.png,labels/AppleA/352.png
images/AppleA/353.png,labels/AppleA/353.png
images/AppleA/355.png,labels/AppleA/355.png
images/AppleA/356.png,labels/AppleA/356.png
images/AppleA/357.png,labels/AppleA/357.png
images/AppleA/358.png,labels/AppleA/358.png
images/AppleA/359.png,labels/AppleA/359.png
images/AppleA/360.png,labels/AppleA/360.png
images/AppleA/362.png,labels/AppleA/362.png
images/AppleA/363.png,labels/AppleA/363.png
images/AppleA/364.png,labels/AppleA/364.png
images/AppleA/367.png,labels/AppleA/367.png
images/AppleA/368.png,labels/AppleA/368.png
images/AppleA/370.png,labels/AppleA/370.png
images/AppleA/372.png,labels/AppleA/372.png
images/AppleA/373.png,labels/AppleA/373.png
images/AppleA/374.png,labels/AppleA/374.png
